序号	产品标记	"规格尺寸/mm直径×壁厚"	理论重量/kg
1	WS2006	D200×6	5.57
2	WS2008	D200×8	7.28
3	WS2206	D220×6	6.78
4	WS2208	D220×8	8.87
5	WS2406	D240×6	8.10
6	WS2408	D240×8	10.62
7	WS2410	D240×10	13.05
8	WS2608	D260×8	12.53
9	WS2610	D260×10	15.42
10	WS2808	D280×8	14.60
11	WS2810	D280×10	17.99
12	WS2812	D280×12	21.27
13	WS3008	D300×8	16.83
14	WS3010	D300×10	20.75
15	WS3012	D300×12	24.56
16	WS3510	D350×10	28.52
17	WS3512	D350×12	33.82
18	WS3514	D350×14	39.00
19	WS4012	D400×12	44.57
20	WS4014	D400×14	51.47
21	WS4016	D400×16	58.22
22	WS4018	D400×18	64.82
23	WS4514	D450×14	65.66
24	WS4516	D450×16	74.36
25	WS4518	D450×18	82.89
26	WS4520	D450×20	91.26
27	WS5016	D500×16	92.47
28	WS5018	D500×18	103.18
29	WS5020	D500×20	113.71
30	WS5022	D500×22	124.05
31	WS5516	D550×16	112.55
32	WS5518	D550×18	125.68
33	WS5520	D550×20	138.61
34	WS5522	D550×22	151.34
35	WS5525	D550×25	170.06
36	WS6018	D600×18	150.41
37	WS6020	D600×20	165.99
38	WS6022	D600×22	181.35
39	WS6025	D600×25	203.97
40	WS6028	D600×28	226.11
41	WS6030	D600×30	240.60
42	WS6520	D650×20	195.83
43	WS6525	D650×25	240.96
44	WS6528	D650×28	267.33
45	WS6530	D650×30	28.462 
46	WS7020	D700×20	228.14
47	WS7022	D700×22	249.49
48	WS7025	D700×25	281.04
49	WS7028	D700×28	312.01
50	WS7030	D700×30	332.34
51	WS7522	D750×22	287.63
52	WS7525	D750×25	324.20
53	WS7528	D750×28	360.14
54	WS7530	D750×30	383.76
55	WS7535	D750×35	441.62
56	WS8022	D800×22	328.49
57	WS8025	D800×25	370.44
58	WS8028	D800×28	411.72
59	WS8030	D800×30	438.88
60	WS8035	D800×35	505.49
61	WS8522	D850×22	372.05
62	WS8525	D850×25	419.76
63	WS8528	D850×28	466.75
64	WS8530	D850×30	497.69
65	WS8535	D850×35	573.68
66	WS8540	D850×40	647.74
67	WS9025	D900×25	472.16
68	WS9028	D900×28	52.524 
69	WS903C	D900×30	560.21
70	WS9035	D900×35	646.18
71	WS9040	D900×40	730.11
72	WS9045	D900×45	812.02
