序号	产品标记	"规格尺寸/mm直径×壁厚"	理论重量/kg
1	WSR3008	D300×8	20.31 
2	WSR3010	D300×10	24.97
3	WSR3012	D300×12	29.46
4	WSR3510	D350×10	34.39
5	WSR3512	D350×12	40.68
6	WSR3514	D350×14	46.78
7	WSR4012	D400×12	53.71
8	WSR4014	D400×14	61.88
9	WSR4016	D400×16	69.82
10	WSR4018	D400×18	77.56
11	WSR4514	D450×14	79.08
12	WSR4516	D450×16	89.37
13	WSR4518	D450×18	99.42
14	WSR4520	D450×20	109.22
15	WSR5016	D500×16	111.33
16	WSR5018	D500×18	123.99
17	WSR5020	D500×20	136.37
18	WSR5022	D500×22	148.49
19	WSR5516	D550×16	135.71
20	WSR5518	D550×18	151.27
21	WSR5520	D550×20	166.54
22	WSR5522	D550×22	181.51
23	WSR5525	D550×25	203.41
24	WSR6018	D600×18	181.27
25	WSR6020	D600×20	199.73
26	WSR6022	D600×22	217.85
27	WSR6025	D600×25	244.43
28	WSR6028	D600×28	270.29
29	WSR6030	D600×30	287.13
30	WSR6520	D650×20	235.92
31	WSR6525	D650×25	289.22
32	WSR6528	D650×28	320.14
33	WSR6530	D650×30	340.32
34	WSR7020	D700×20	275.13
35	WSR7022	D700×22	300.48
36	WSR7025	D700×25	337.77
37	WSR7028	D700×28	374.21
38	WSR7030	D700×30	398.03
39	WSR7522	D750×22	346.76
40	WSR7525	D750×25	390.09
41	WSR7528	D750×28	432.49
42	WSR7530	D750×30	460.26
43	WSR7535	D750×35	527.91
44	WSR8022	D800×22	396.36
45	WSR8025	D800×25	446.18
46	WSR8028	D800×28	495.00
47	WSR8030	D800×30	527.01
48	WSR8035	D800×35	605.14
49	WSR8522	D850×22	449.28
50	WSR8525	D850×25	506.03
51	WSR8528	D850×28	561.73
52	WSR8530	D850×30	598.28
53	WSR8535	D850×35	687.64
54	WSR8540	D850×40	774.16
55	WSR9025	D900×25	569.65
56	WSR9028	D900×28	632.68
57	WSR9030	D900×30	674.07
58	WSR9035	D900×35	775.42
59	WSR9040	D900×40	873.74
60	WSR9045	D900×45	969.08
